split,city,image_path,nearest_audit_cosine,above_audit_p90
external,taipei,data/generalization/images/taipei/taipei_148.jpg,0.7592503,True
external,taipei,data/generalization/images/taipei/taipei_172.jpg,0.77790123,True
external,taipei,data/generalization/images/taipei/taipei_489.jpg,0.7841425,True
external,taipei,data/generalization/images/taipei/taipei_940.jpg,0.795278,True
external,taipei,data/generalization/images/taipei/taipei_2839.jpg,0.72525585,True
external,taipei,data/generalization/images/taipei/taipei_4994.jpg,0.79116654,True
external,taipei,data/generalization/images/taipei/taipei_173.jpg,0.7539716,True
external,taipei,data/generalization/images/taipei/taipei_472.jpg,0.8110125,True
external,taipei,data/generalization/images/taipei/taipei_488.jpg,0.7841425,True
external,taipei,data/generalization/images/taipei/taipei_829.jpg,0.7564671,True
external,taipei,data/generalization/images/taipei/taipei_1415.jpg,0.78028554,True
external,taipei,data/generalization/images/taipei/taipei_2090.jpg,0.73229027,True
external,taipei,data/generalization/images/taipei/taipei_2427.jpg,0.7813051,True
external,taipei,data/generalization/images/taipei/taipei_2533.jpg,0.7199023,True
external,taipei,data/generalization/images/taipei/taipei_2817.jpg,0.706568,True
external,taipei,data/generalization/images/taipei/taipei_2819.jpg,0.6675371,True
external,taipei,data/generalization/images/taipei/taipei_4569.jpg,0.7749607,True
external,taipei,data/generalization/images/taipei/taipei_4620.jpg,0.7149265,True
external,taipei,data/generalization/images/taipei/taipei_6242.jpg,0.83888096,True
external,taipei,data/generalization/images/taipei/taipei_131.jpg,0.69003594,True
external,taipei,data/generalization/images/taipei/taipei_154.jpg,0.7069308,True
external,taipei,data/generalization/images/taipei/taipei_254.jpg,0.6844319,True
external,taipei,data/generalization/images/taipei/taipei_463.jpg,0.77252924,True
external,taipei,data/generalization/images/taipei/taipei_467.jpg,0.7958033,True
external,taipei,data/generalization/images/taipei/taipei_471.jpg,0.7706533,True
external,taipei,data/generalization/images/taipei/taipei_482.jpg,0.81216604,True
external,taipei,data/generalization/images/taipei/taipei_833.jpg,0.76947194,True
external,taipei,data/generalization/images/taipei/taipei_896.jpg,0.70369154,True
external,taipei,data/generalization/images/taipei/taipei_935.jpg,0.8426775,True
external,taipei,data/generalization/images/taipei/taipei_945.jpg,0.73614097,True
external,taipei,data/generalization/images/taipei/taipei_1157.jpg,0.782677,True
external,taipei,data/generalization/images/taipei/taipei_1210.jpg,0.80299973,True
external,taipei,data/generalization/images/taipei/taipei_1417.jpg,0.7817816,True
external,taipei,data/generalization/images/taipei/taipei_1636.jpg,0.83498585,True
external,taipei,data/generalization/images/taipei/taipei_63.jpg,0.8040435,True
external,taipei,data/generalization/images/taipei/taipei_52.jpg,0.798314,True
external,taipei,data/generalization/images/taipei/taipei_2088.jpg,0.8257583,True
external,taipei,data/generalization/images/taipei/taipei_3250.jpg,0.7829577,True
external,taipei,data/generalization/images/taipei/taipei_8924.jpg,0.718397,True
external,taipei,data/generalization/images/taipei/taipei_1302.jpg,0.74194217,True
external,taipei,data/generalization/images/taipei/taipei_2241.jpg,0.8188621,True
external,taipei,data/generalization/images/taipei/taipei_3913.jpg,0.8297345,True
external,taipei,data/generalization/images/taipei/taipei_3677.jpg,0.7382058,True
external,taipei,data/generalization/images/taipei/taipei_3681.jpg,0.72596365,True
external,taipei,data/generalization/images/taipei/taipei_3687.jpg,0.77612746,True
external,taipei,data/generalization/images/taipei/taipei_9080.jpg,0.80625314,True
external,taipei,data/generalization/images/taipei/taipei_979.jpg,0.8019062,True
external,taipei,data/generalization/images/taipei/taipei_3433.jpg,0.7712529,True
external,taipei,data/generalization/images/taipei/taipei_10657.jpg,0.73744714,True
external,taipei,data/generalization/images/taipei/taipei_1301.jpg,0.72453415,True
external,taipei,data/generalization/images/taipei/taipei_4627.jpg,0.80534387,True
external,taipei,data/generalization/images/taipei/taipei_5549.jpg,0.79518294,True
external,taipei,data/generalization/images/taipei/taipei_9098.jpg,0.7907241,True
external,taipei,data/generalization/images/taipei/taipei_976.jpg,0.7492492,True
external,taipei,data/generalization/images/taipei/taipei_1722.jpg,0.8083007,True
external,taipei,data/generalization/images/taipei/taipei_3675.jpg,0.7435575,True
external,taipei,data/generalization/images/taipei/taipei_3782.jpg,0.7770308,True
external,taipei,data/generalization/images/taipei/taipei_7371.jpg,0.74214554,True
external,taipei,data/generalization/images/taipei/taipei_7547.jpg,0.81102276,True
external,taipei,data/generalization/images/taipei/taipei_8321.jpg,0.7613438,True
external,taipei,data/generalization/images/taipei/taipei_8787.jpg,0.70033693,True
external,taipei,data/generalization/images/taipei/taipei_9047.jpg,0.80175215,True
external,taipei,data/generalization/images/taipei/taipei_10409.jpg,0.77669895,True
external,taipei,data/generalization/images/taipei/taipei_21375.jpg,0.77979803,True
external,taipei,data/generalization/images/taipei/taipei_3475.jpg,0.8129524,True
external,taipei,data/generalization/images/taipei/taipei_3684.jpg,0.79413337,True
external,taipei,data/generalization/images/taipei/taipei_8603.jpg,0.75076926,True
external,taipei,data/generalization/images/taipei/taipei_9083.jpg,0.75833666,True
external,taipei,data/generalization/images/taipei/taipei_9101.jpg,0.7560232,True
external,taipei,data/generalization/images/taipei/taipei_10459.jpg,0.72559327,True
external,taipei,data/generalization/images/taipei/taipei_10633.jpg,0.7917027,True
external,taipei,data/generalization/images/taipei/taipei_16814.jpg,0.8008309,True
external,taipei,data/generalization/images/taipei/taipei_16830.jpg,0.75836885,True
external,taipei,data/generalization/images/taipei/taipei_21383.jpg,0.77323496,True
